listing_id,"""name""",host_id,host_is_superhost (Star),host_identity_verified (Tick),"""neighbourhood""","""city""","""latitude""","""longitude""","""property_type""","""room_type""",accommodates,bedrooms,"""amenities""",price,review_scores_rating,review_scores_value,instant_bookable
21231230,"""35m2 proche Montmartre""",131820645,f,t,"""Buttes-Montmartre""",Paris,48.89049,2.33268,Entire apartment,Entire place,2,1,"""[""Iron"", ""Heating"", ""Washer"", ""Hair dryer"", ""Extra pillows and blankets"", ""Smoke alarm"", ""Wifi"", ""Dedicated workspace"", ""Kitchen"", ""Hot water"", ""Hangers"", ""Essentials"", ""Bed linens"", ""Long term stays allowed"", ""Host greets you""]""",0,100,10,f
21961806,"""Appartement Cosy, Calme et Lumineux""",20162025,f,t,"""Menilmontant""",Paris,48.85697,2.39986,Entire apartment,Entire place,2,1,"""[""TV"", ""Iron"", ""Kitchen"", ""Breakfast"", ""Private entrance"", ""Heating"", ""Long term stays allowed"", ""Shampoo"", ""Elevator"", ""Essentials"", ""Washer"", ""Wifi""]""",0,100,10,f
23636300,"Charmant 2pi 45m2 lumineux prAEFAs metro, parcs""",48646258,f,t,"""Buttes-Chaumont""",Paris,48.87395,2.38474,Entire apartment,Entire place,2,1,"""[""Kitchen"", ""Hair dryer"", ""Hangers"", ""Smoke alarm"", ""Long term stays allowed"", ""Heating"", ""Washer"", ""Wifi""]""",0,100,10,f
23726864,"Studio atypique 11AEFAme""",63122696,f,f,"""Popincourt""",Paris,48.85435,2.38653,Entire apartment,Entire place,2,1,"""[""Kitchen"", ""Hair dryer"", ""Hangers"", ""Smoke alarm"", ""Long term stays allowed"", ""Heating"", ""Washer"", ""Wifi""]""",0,100,10,f
25205911,"""Nice flat in the 18th district""",10693645,f,t,"""Buttes-Montmartre""",Paris,48.89408,2.34878,Entire apartment,Entire place,2,1,"""[""Kitchen"", ""Hair dryer"", ""Iron"", ""Smoke alarm"", ""Free street parking"", ""Heating"", ""Long term stays allowed"", ""Shampoo"", ""Essentials"", ""Washer"", ""Wifi""]""",0,100,10,f
25439485,"""Appart Menilmontant""",192032202,f,t,"""Popincourt""",Paris,48.86688,2.38302,Entire apartment,Entire place,2,1,"""[""Iron"", ""Shampoo"", ""Heating"", ""Washer"", ""Dedicated workspace"", ""Hair dryer"", ""Wifi"", ""Kitchen"", ""Smoke alarm"", ""Essentials"", ""Hot water"", ""Long term stays allowed"", ""Breakfast""]""",0,100,10,f
25969750,"Charmant deuxpi dans le 11eme""",27142175,f,t,"""Reuilly""",Paris,48.84998,2.38029,Entire apartment,Entire place,2,1,"""[""Iron"", ""Shampoo"", ""Heating"", ""Washer"", ""Dedicated workspace"", ""Hair dryer"", ""Wifi"", ""Kitchen"", ""Smoke alarm"", ""Essentials"", ""Hot water"", ""Long term stays allowed"", ""Breakfast""]""",0,100,10,f
26114625,"Appartement de charme""",8079488,f,f,"""Opera""",Paris,48.87849,2.34333,Entire apartment,Entire place,2,1,"""[""Heating"", ""Washer"", ""Dedicated workspace"", ""Elevator"", ""Wifi"", ""Kitchen"", ""Dishes and silverware"", ""Refrigerator"", ""Essentials"", ""Hangers"", ""Long term stays allowed"", ""Coffee maker""]""",0,100,10,f
27716734,"Cosy flat in central ParisBastille""",16205186,f,t,"""Popincourt""",Paris,48.85435,2.37804,Entire apartment,Entire place,2,1,"""[""Iron"", ""Shampoo"", ""Heating"", ""Washer"", ""Hair dryer"", ""Breakfast"", ""Wifi"", ""Kitchen"", ""Dishes and silverware"", ""Cooking basics"", ""Hot water"", ""Essentials"", ""Host greets you"", ""Long term stays allowed"", ""TV"", ""Stove"", ""Coffee maker""]""",0,100,10,f
30347838,"""Cosy and bright flat close to the Arc de Triomphe""",190452933,f,t,"""Batignolles-Monceau""",Paris,48.87671,2.28885,Entire apartment,Entire place,2,1,"""[""Heating"", ""Iron"", ""Kitchen"", ""Essentials"", ""Washer"", ""Hangers"", ""Wifi"", ""Elevator"", ""Long term stays allowed""]""",0,100,10,f
30583783,"""BOOK A FLAT IN BATIGNOLLES NEIGHBORHOOD""",208645243,f,f,"""Batignolles-Monceau""",Paris,48.88656,2.31711,Entire apartment,Entire place,2,1,"""[""Heating"", ""Washer"", ""Dedicated workspace"", ""Elevator"", ""Wifi"", ""Kitchen"", ""Dishes and silverware"", ""Refrigerator"", ""Essentials"", ""Hangers"", ""Long term stays allowed"", ""Coffee maker""]""",0,100,10,f
30770048,"Cosy Parisian flat - OrsaySaint GermainTuileries""",17856448,t,t,"""Palais-Bourbon""",Paris,48.85994,2.32425,Entire apartment,Entire place,2,1,"""[""Heating"", ""TV"", ""Iron"", ""Kitchen"", ""Hair dryer"", ""Essentials"", ""Washer"", ""Hot water"", ""Hangers"", ""Smoke alarm"", ""Wifi"", ""Dishes and silverware"", ""Long term stays allowed"", ""Dedicated workspace"", ""Host greets you""]""",0,100,10,f
31097234,"""Quiet and cosy flat in the heart of Paris""",47634024,f,f,"""Enclos-St-Laurent""",Paris,48.87133,2.352,Entire apartment,Entire place,2,1,"""[""Shampoo"", ""Heating"", ""Washer"", ""Dedicated workspace"", ""Wifi"", ""Kitchen"", ""First aid kit"", ""Essentials"", ""Hangers"", ""Long term stays allowed"", ""Breakfast""]""",0,100,10,f
31314982,"Deuxpi cozy dans le 17AEFAme arrondissement""",29885190,f,t,"""Batignolles-Monceau""",Paris,48.89002,2.32339,Entire apartment,Entire place,2,1,"""[""Heating"", ""TV"", ""Iron"", ""Kitchen"", ""Hair dryer"", ""Essentials"", ""Washer"", ""Hot water"", ""Hangers"", ""Smoke alarm"", ""Wifi"", ""Dishes and silverware"", ""Long term stays allowed"", ""Dedicated workspace"", ""Host greets you""]""",0,100,10,f
31990119,"Cosy apartment in Paris 12AEFAme""",88961787,f,t,"""Reuilly""",Paris,48.84341,2.40503,Entire apartment,Entire place,2,1,"""[""Shampoo"", ""Heating"", ""Washer"", ""Dedicated workspace"", ""Wifi"", ""Kitchen"", ""First aid kit"", ""Essentials"", ""Hangers"", ""Long term stays allowed"", ""Breakfast""]""",0,100,10,f
32539506,"Appartement cosy et calmeAFA deux pas de Montmartre""",185197774,f,f,"""Buttes-Montmartre""",Paris,48.89044,2.33198,Entire apartment,Entire place,2,1,"""[""Shampoo"", ""Heating"", ""Iron"", ""Kitchen"", ""Essentials"", ""Hair dryer"", ""Washer"", ""Carbon monoxide alarm"", ""Smoke alarm"", ""Wifi"", ""Elevator"", ""Long term stays allowed""]""",0,100,10,f
32571299,"""Roof top in Montmartre with view""",243868011,f,t,"""Buttes-Montmartre""",Paris,48.89062,2.33534,Entire apartment,Entire place,2,1,"""[""Iron"", ""Shampoo"", ""Heating"", ""Washer"", ""Hair dryer"", ""Dedicated workspace"", ""Smoke alarm"", ""Wifi"", ""Kitchen"", ""Hot water"", ""Essentials"", ""Long term stays allowed"", ""Host greets you"", ""Carbon monoxide alarm""]""",0,100,10,f
32601193,"""Appartement calme et lumineux MONTMARTRE""",64772941,f,t,"""Buttes-Montmartre""",Paris,48.89162,2.34764,Entire apartment,Entire place,2,1,"""[""Iron"", ""Shampoo"", ""Heating"", ""Washer"", ""Hair dryer"", ""Dedicated workspace"", ""Smoke alarm"", ""Wifi"", ""Kitchen"", ""Hot water"", ""Essentials"", ""Long term stays allowed"", ""Host greets you"", ""Carbon monoxide alarm""]""",0,100,10,f
